Date,Open,High,Low,Close,Volume,Exchange
2022-06-28,3307.00,3330.00,3272.60,3318.15,1400046,NSE
2022-06-27,3350.00,3362.90,3306.50,3314.70,2037686,NSE
2022-06-24,3339.00,3345.00,3277.50,3293.10,2132118,NSE
2022-06-23,3222.95,3318.00,3222.95,3308.80,3692578,NSE
2022-06-22,3199.90,3250.55,3183.00,3222.95,3336315,NSE
2022-06-21,3130.00,3237.75,3125.40,3211.95,2964461,NSE
2022-06-20,3094.00,3138.75,3069.00,3112.40,1502769,NSE
2022-06-17,3092.00,3118.75,3023.85,3088.90,5240434,NSE
2022-06-16,3240.00,3244.85,3133.05,3142.00,2032028,NSE
2022-06-15,3218.50,3234.00,3201.00,3206.30,1404536,NSE
2022-06-14,3190.00,3238.90,3174.70,3210.55,2611493,NSE
2022-06-13,3290.00,3293.00,3192.45,3219.60,3030921,NSE
2022-06-10,3382.00,3393.00,3352.00,3359.90,1527582,NSE
2022-06-09,3385.00,3437.00,3353.10,3427.10,1279197,NSE
2022-06-08,3380.15,3413.95,3346.50,3404.15,2185707,NSE
2022-06-07,3401.05,3418.85,3356.00,3362.70,2308256,NSE
2022-06-06,3418.00,3453.00,3377.15,3430.95,1084210,NSE
2022-06-03,3459.40,3477.30,3431.20,3440.15,1913622,NSE
2022-06-02,3355.00,3432.00,3346.30,3423.00,2657939,NSE
2022-06-01,3388.00,3388.00,3340.05,3355.20,1493835,NSE
2022-05-31,3354.15,3383.40,3325.00,3364.35,4840965,NSE
2022-05-30,3297.00,3386.60,3286.35,3375.25,2094624,NSE
2022-05-27,3253.20,3278.90,3229.20,3261.30,3103153,NSE
2022-05-26,3191.00,3241.50,3180.55,3226.95,2813186,NSE
2022-05-25,3292.85,3292.85,3154.05,3167.65,3548046,NSE
2022-05-24,3315.15,3324.85,3275.60,3288.00,1711510,NSE
2022-05-23,3304.80,3338.90,3267.00,3321.75,2293690,NSE
2022-05-20,3310.00,3313.90,3270.05,3293.00,3065125,NSE
2022-05-19,3397.00,3405.00,3230.00,3261.95,4642963,NSE
2022-05-18,3465.00,3495.00,3443.05,3448.80,1866781,NSE
2022-05-17,3370.00,3467.00,3350.40,3451.60,1754076,NSE
2022-05-16,3415.00,3430.00,3366.60,3376.80,1195813,NSE
2022-05-13,3435.00,3439.90,3382.15,3414.90,2187823,NSE
2022-05-12,3378.00,3449.70,3350.10,3408.65,2807195,NSE
2022-05-11,3435.00,3448.45,3382.15,3412.00,1841769,NSE
2022-05-10,3434.00,3464.80,3422.00,3438.75,1622685,NSE
2022-05-09,3398.00,3456.00,3346.85,3445.10,2481830,NSE
2022-05-06,3459.00,3474.50,3424.50,3432.60,2010812,NSE
2022-05-05,3512.10,3533.00,3485.35,3513.40,1612262,NSE
2022-05-04,3538.50,3545.45,3465.30,3479.75,2305825,NSE
2022-05-02,3519.90,3547.95,3492.75,3542.40,1324161,NSE
2022-04-29,3597.00,3623.25,3536.85,3546.70,2051115,NSE
2022-04-28,3588.00,3604.40,3538.05,3584.30,1703660,NSE
2022-04-27,3546.00,3568.45,3506.30,3561.20,1727648,NSE
2022-04-26,3575.15,3587.90,3518.15,3546.30,1943469,NSE
2022-04-25,3558.00,3584.00,3533.10,3548.20,1960694,NSE
2022-04-22,3581.10,3617.00,3571.50,3612.55,1581465,NSE
2022-04-21,3580.00,3644.00,3567.40,3628.65,2280996,NSE
2022-04-20,3500.00,3569.15,3480.00,3556.80,2640370,NSE
2022-04-19,3550.00,3563.55,3439.15,3471.90,3170014,NSE
2022-04-18,3610.00,3610.00,3522.50,3528.05,3820792,NSE
2022-04-13,3707.00,3709.85,3655.55,3661.95,1621672,NSE
2022-04-12,3683.00,3739.00,3648.35,3691.10,4483476,NSE
2022-04-11,3690.00,3712.35,3656.10,3696.40,2291660,NSE
2022-04-08,3690.00,3705.00,3642.50,3685.65,2296773,NSE
2022-04-07,3745.50,3745.50,3679.00,3684.15,2494829,NSE
2022-04-06,3809.30,3809.30,3731.15,3755.35,2051729,NSE
2022-04-05,3772.00,3835.60,3772.00,3814.80,2314947,NSE
2022-04-04,3762.00,3780.00,3737.10,3770.35,1472994,NSE
2022-04-01,3748.00,3763.00,3728.05,3758.75,1387014,NSE
2022-03-31,3740.00,3754.65,3720.20,3739.95,2168110,NSE
2022-03-30,3738.00,3738.00,3706.20,3731.55,1583455,NSE
2022-03-29,3694.75,3722.00,3691.00,3705.35,2689063,NSE
2022-03-28,3695.00,3713.00,3661.20,3707.70,1760990,NSE
2022-03-25,3759.90,3779.50,3672.00,3707.45,1690133,NSE
2022-03-24,3700.00,3758.20,3695.00,3749.85,1879046,NSE
2022-03-23,3708.00,3729.80,3690.00,3712.40,1596195,NSE
2022-03-22,3640.00,3711.00,3625.00,3700.95,2907611,NSE
2022-03-21,3696.00,3713.95,3615.00,3626.70,2413831,NSE
2022-03-17,3696.60,3710.00,3660.30,3672.75,3600452,NSE
2022-03-16,3640.50,3668.00,3616.25,3655.90,3090475,NSE
2022-03-15,3659.00,3659.00,3585.40,3593.90,3651133,NSE
2022-03-14,3580.00,3648.35,3580.00,3643.00,1765688,NSE
2022-03-11,3603.25,3639.85,3592.85,3599.15,1623423,NSE
2022-03-10,3684.00,3684.00,3615.00,3620.95,2005441,NSE
2022-03-09,3605.00,3654.00,3597.05,3632.60,2719654,NSE
2022-03-08,3460.00,3609.00,3460.00,3599.95,3300992,NSE
2022-03-07,3450.00,3548.00,3431.55,3484.90,3054130,NSE
2022-03-04,3501.50,3561.20,3487.05,3524.35,2370257,NSE
2022-03-03,3562.85,3578.60,3530.10,3544.40,1928039,NSE
2022-03-02,3552.50,3571.95,3506.00,3546.15,2761341,NSE
2022-02-28,3490.00,3563.75,3455.90,3554.20,3288942,NSE
2022-02-25,3468.00,3530.00,3462.00,3520.75,2549723,NSE
2022-02-24,3474.00,3483.85,3391.10,3401.65,5039136,NSE
2022-02-23,3611.00,3622.90,3555.65,3563.80,2426203,NSE
2022-02-22,3650.00,3667.90,3570.00,3586.40,5408531,NSE
2022-02-21,3810.00,3827.80,3705.55,3719.40,7465922,NSE
2022-02-18,3769.00,3815.95,3757.60,3793.90,3688883,NSE
2022-02-17,3825.00,3835.00,3779.00,3784.20,3134372,NSE
2022-02-16,3844.00,3854.10,3806.00,3813.10,3256906,NSE
2022-02-15,3786.00,3835.00,3748.00,3817.80,3931683,NSE
2022-02-14,3724.00,3793.25,3710.00,3733.75,5951745,NSE
2022-02-11,3752.50,3752.50,3690.00,3694.95,3851488,NSE
